name,energy,protein,fat,saturates,carbohydrate,sugars,fibre,salt
shepardless-pie,79kcal,1.8g,1.7g,0.2g,,2.1g,2.0g,0.39g
Lidl_TowerGate_Cookie_Cranberrry,490kcal,5.1g,22.9g,10.9g,64.4g,45.2g,2.7g,0.67g
chocuer_milk_chocolate,2371kj/569kcal,7.7g,36.4g,,51.6g,49.7g,,0.18g
john-west-tuna-chunks-in-brine,,,,,,,,
Lidl_PotatoWaffle_BirdsEye,94kcal,2.2g,,0.5g,,0.9g,1.3g,0.58g
irish_chicken5,966kj,23.0g,14.8g,2.3g,1.4g,0.3g,0.5g,2.01g
Tesco_Healthy_Cookie_2,499kcal,9.5g,24.5g,6.6g,58.5g,2.9g,3.3g,0.80g
spicy-mexican-style-chicken-thigh-kebabs-lidl,608kj,19.2g,6.7g,2.0g,1.5g,0.9g,1.0g,0.45g
Veg_Crumbs,957kj/229kcal,12.0g,7.4g,1.6g,26.0g,0.7g,4.7g,1.08g
Lidl_chicken_nuggets_2,,,,,,,,
Tesco_Spinach_nut_falafel,889kj/213kcal,7.2g,10.4g,0.8g,18.3g,1.7g,8.6g,1.24g
Lidl_HoneyNut_Clusters_MilkChocolate,820kj/195kcal,4.1g,6.5g,1.4g,28.5g,8.7g,3.2g,0.32g
tortilla_wrap5,,6.8g,,0.9g,52.4g,,1.2g,1.2g
soup2,198kj 47kcal,0.7g,1.4g,0.8g,,0.7g,0.4g,0.6g
sliced-bread-arirang,3kcal,4.3g,,,,,,
chicken5,673kj 160kcal,24.6g,6.7g,1.7g,0.4g,0.4g,0.0g,0.5g
Tesco_Mackerel_fillet_siracha,773kj 487kj 186kcal 117kcal,13.3g,12.0g,2.6g,5.6g,4.9g,1.0g,1.5g
bread8,948kj/224kcal,9.8g,1.7g,0.6g,,2.0g,8.0g,1.1g
Aldi_Frozen_burger,766kj/183kcal,5.0g,8.0g,0.6g,19.8g,2.9g,6.0g,0.66g
bread9,1151kj 760kj 274kcal 181kcal,0.5g,,0.9g,,3.2g,,
Lidl_KingPrawn(Crustaceans),251kj/59kcal,13.0g,0.8g,0.2g,,,,1.45g
chicken4,835kj/199kcal,19.8g,9.6g,2.6g,8.0g,4.8g,0.9g,0.9g
Lidl_Prawns_sweetChilli,1129kj,,,,,,,
Lidl_chicken_pop,789kj/188kcal,15.8g,8.3g,,12.0g,,1.1g,0.57g
soup3,,,,,5.1g,,<0.5g,
oriental-stir-fry-with-egg-fried-rice-quorn,505kj,4.3g,3.7g,0.4g,16.5g,4.9g,1.7g,0.4g
tortilla_wrap4,,,7.0g,4.6g,46.1g,,7.2g,1.549
Lidl_Cooked_marinatedChickenBreast_Rice,584kj,7.7g,4.8g,2.8g,15.1g,1.5g,2.4g,1.20g
Aldi_cooked_Cabbage_Carrot_Meal,444kj/106kcal,5.4g,6.2g,2.8g,6.4g,2.0g,1.5g,0.74g
Tesco_Healthy_Cookie_3,506kcal,9.0g,26.3g,6.3g,56.7g,3.4g,2.9g,1.02g
whole-chia-seeds-kelkin,433kcal,,,3.3g,5.1g,1.0g,,
meatballs-the-farmer-s-daughter,547kj,19.2g,,,2.6g,0.5g,,0.2g
irish_chicken4,449kj 106kcal,24.0g,1.1g,0.3g,0.0g,0.0g,0.0g,0.15g
bento-box-with-rice-quinoa,762kj 182kcal,6.0g,4.3g,0.7g,,7.6g,2.8g,0.49g
salted_caramel_flapjack,1875kj 938kj 447kcal 224kcal,,,9.6g,,,3.7g,1.2g
long-grain-rice-tesco,656kj 1023kj 155kcal 242kcal,3.5g,0.5g,0.2g,30.4g,0.2g,7.6g,<0.01g
Lidl_Neo_biscuit_White,533kcal,5.0g,29.0g,17.0g,62.0g,48.0g,2.0g,0.50g
Lidl_Sliced_ChickenFillet_Potato,90kcal,8.8g,2.3g,0.8g,7.8g,1.0g,,0.67g
Tesco_High_protein_Meal,,,,,,,,
Tesco_Mackerel_fillet_green,,12.8g,12.7g,,7.3g,,,1.0g
Tesco_Healthy_Cookie_1,499kcal,9.5g,23.7g,6.4g,60.3g,3.2g,3.3g,0.66g
pitta-breads-safa-food,257kcal,10.4g,,0.3g,,3.3g,2.2g,0.07g
Tesco_Finest_Pizza,227kcal,,7.7g,2.6g,28.4g,3.9g,2.6g,1.05g
mac-n-cheese-tesco,612kj/146kcal,6.3g,4.7g,2.9g,18.9g,1.7g,1.2g,0.37g
spirulina,,,,,,,,
soup1,182kj 43kcal,0.5g,1.6g,0.8g,6.4g,1.0g,0.5g,0.56g
Lidl_Sliced_Irish_med_RedCheddar,416kcal,25.4g,34.9g,21.7g,0.1g,,,1.81g
cod-fillets,417kj/98kcal,,0.8g,0.2g,<0.5g,<0.5g,<0.5g,0.32g
Lidl_Crownfield_bf_biscuit_strawberry,1920kj,6.9g,16.9g,5.4g,67.4g,25.2g,4.0g,0.50g
mix_nuts,2547kj,21.6g,13.4g,5.7g,6.5g,3.8g,11.2g,<0.01g
irish-chicken-breast-fillets-tesco,153kcal,0.2g,,1.0g,0.0g,0.0g,30.2g,
Aldi_Ham&Mushroom,644kj/154kcal,6.9g,8.5g,3.1g,11.9g,2.4g,1.2g,0.97g
penne-rigate-dunnes-stores,1530kj 1224kj 361kcal 289kcal,,1.2g,0.2g,,,,
BelVita_Honey&Oat,,,,,,,,
soup0,208kj 50kcal,0.7g,2.1g,1.1g,6.7g,0.7g,0.5g,0.62g
mango-and-passion-fruit-0-fat-yogurt,222kj 278kj 52kcal 65kcal,5.3g,0.2g,<0.1g,7.3g,4.7g,<0.5g,0.21g
Branwell's_vegetable,572kj/135kcal,0.1g,1.2g,,,,,0.68g
tortilla_wrap7,1178kj,9.0g,,2.5g,,3.3g,6.9g,
chicken-slices-aldi,128kcal,,,,,,,
Lidl_MultiGrain_Hoops_Chocolate,473kj/112kcal,3.0g,0.6g,0.2g,22.4g,5.4g,2.3g,0.24g
Cooked_Spaghetti,661kj 2645kj 158kcal 631kcal,7.1g,7.3g,3.9g,15.7g,1.7g,0.6g,0.69g
Lidl_CocoaFood_Cookies_Vanilla,328kcal,3.4g,8.8g,5.3g,47.4g,26.4g,22.9g,0.92g
choco-shells-crownfield,482kj/114kcal,3.2g,0.6g,0.3g,22.99,7.2g,1.8g,0.11g
Quorn_Meal,637kj,1.1g,2.0g,6.8g,2.3g,4.9g,,
pitt-chips-lidl,1945kj/463kcal,11.6g,15.8g,1.2g,66.4g,3.3g,4.3g,0.70g
Tesco_chicken_roll,1092kj 2032kj 262kcal 487kcal,9.0g,15.0g,2.6g,21.5g,0.8g,2.5g,1.22g
Branwell's_Lemon_Coriander,577kj/136kcal,26.2g,1.1g,0.1g,,,,0.529
irish_chicken3,106kcal,24.0g,1.1g,0.3g,0.0g,0.0g,0.0g,0.15g
turkey1,132kcal,23.8g,2.2g,0.7g,4.1g,0.1g,0.4g,0.93g
Lidl_Wholewheat_FusiliPasta,526kj/125kcal,9.3g,2.8g,1.4g,,1.6g,,0.54g
Golden_toasted_crisps_rice,1635kj,7.9g,1.3g,0.4g,84.8g,4.9g,1.6g,0.5g
Lidl_Vegan_Sausage,141kcal,6.7g,4.7g,3.6g,16.3g,0.9g,3.2g,1.94g
white-sliced-bread-ballymore-crust,1018kj/240kcal,9.1g,1.6g,0.4g,,3.2g,2.8g,1.0g
tortilla_wrap3,1256kj,,,,,,,
soup4,,,0.6g,,,3.5g,,
Lidl_breaded_pre-dried_fish,889kj,12.9g,,1.7g,19.0g,1.0g,1.3g,0.78g
chocuer_dark_chocolate,2349kj/564kcal,8.2g,36.6g,22.3g,49.0g,47.3g,3.0g,0.16g
chicken-curry-with-pilau-rice-balti-house,776kj/185kcal,7.5g,7.3g,1.0g,21.0g,4.9g,2.4g,0.80g
olive_oil2,900kcal,,,,,,,
Lidl_Delux_Beef_Burger_patty,1135kj,17.4g,22.5g,9.4g,0.4g,0.4g,,0.75g
chicken3,545kj,24.5g,2.6g,0.8g,1.7g,0.1g,0.4g,0.90g
Lidl_Cheese_Fillets,389kj/93kcal,12.3g,,2.3g,2.4g,,1.2g,0.53g
Kelkin_Gluten_Free_JaffaCakes,354kcal,4.5g,6.8g,3.3g,,,2.3g,0.52g
chicken2,516kj 207kj 122kcal 49kcal,25.7g,1.6g,0.5g,1.0g,0.3g,0.4g,0.68g
Lidl_TowerGate_Biscuit_Mix,1877kj,10.6g,18.3g,6.6g,55.4g,0.8g,9.7g,1.23g
spinach-and-pine-nut-bites-gosh,244kcal,8.9g,,1.0g,,1.8g,7.5g,1.3g
olive_oil3,3399kj/827kcal,0.1g,,6.6g,1.1g,0.2g,,0.05g
soup5,1686kj/402kcal,3.6g,13.8g,6.7g,62.7g,22.6g,,7.5g
